"samples","label"
"col001","1"
"col002","1"
"col003","0"
"col004","0"
"col005","1"
"col006","1"
"col007","1"
"col008","0"
"col009","0"
"col010","1"
"col011","1"
"col012","3"
"col013","0"
"col014","3"
"col015","1"
"col016","0"
"col017","1"
"col018","1"
"col019","2"
"col020","0"
"col021","2"
"col022","2"
"col023","1"
"col024","0"
"col026","3"
"col033","2"
"col034","1"
"col035","0"
"col036","3"
"col037","3"
"col038","1"
"col039","2"
"col040","0"
"col041","1"
"col045","3"
"col046","1"
"col047","1"
"col048","1"
"col049","1"
"col050","3"
"col051","1"
"col052","3"
"col053","3"
"col054","2"
"col055","1"
"col057","1"
"col058","0"
"col059","3"
"col060","0"
"col061","3"
"col062","3"
"col064","3"
"col065","1"
"col066","3"
"col067","0"
"col068","2"
"col069","3"
"col070","1"
"col072","3"
"col073","2"
"col074","1"
"col075","3"
"col076","1"
"col077","2"
"col078","1"
"col080","3"
"col081","0"
"col082","3"
"col083","1"
"col084","0"
"col085","0"
"col086","1"
"col090","1"
"col091","0"
"col092","3"
"col093","0"
"col094","1"
"col095","1"
"col096","0"
"col097","1"
"col098","3"
"col099","2"
"col100","0"
"col101","1"
"col102","1"
"GSM971957","3"
"GSM971958","3"
"GSM971959","2"
"GSM971960","1"
"GSM971961","3"
"GSM971962","3"
"GSM971963","0"
"GSM971964","1"
"GSM971965","1"
"GSM971966","3"
"GSM971967","2"
"GSM971968","3"
"GSM971969","0"
"GSM971970","2"
"GSM971971","0"
"GSM971972","1"
"GSM971973","0"
"GSM971974","2"
"GSM971975","1"
"GSM971976","1"
"GSM971977","3"
"GSM971978","0"
"GSM971979","0"
"GSM971980","0"
"GSM971981","0"
"GSM971982","0"
"GSM971983","0"
"GSM971984","0"
"GSM971985","2"
"GSM971986","3"
"GSM971987","3"
"GSM971988","0"
"GSM971989","2"
"GSM971991","3"
"GSM971992","1"
"GSM971993","0"
"GSM971994","1"
"GSM971996","3"
"GSM971997","0"
"GSM971999","1"
"GSM972000","1"
"GSM972001","2"
"GSM972002","2"
"GSM972003","1"
"GSM972004","1"
"GSM972005","2"
"GSM972006","3"
"GSM972007","3"
"GSM972008","3"
"GSM972010","3"
"GSM972011","3"
"GSM972012","2"
"GSM972013","1"
"GSM972014","1"
"GSM972015","0"
"GSM972016","0"
"GSM972017","1"
"GSM972018","1"
"GSM972019","3"
"GSM972020","1"
"GSM972021","0"
"GSM972022","1"
"GSM972023","2"
"GSM972024","1"
"GSM972025","1"
"GSM972026","3"
"GSM972027","1"
"GSM972028","1"
"GSM972029","3"
"GSM972030","3"
"GSM972031","1"
"GSM972032","1"
"GSM972033","1"
"GSM972034","1"
"GSM972035","1"
"GSM972036","2"
"GSM972037","2"
"GSM972038","1"
"GSM972039","3"
"GSM972040","1"
"GSM972041","1"
"GSM972042","2"
"GSM972043","1"
"GSM972044","2"
"GSM972045","2"
"GSM972046","3"
"GSM972047","3"
"GSM972048","1"
"GSM972049","2"
"GSM972050","2"
"GSM972051","3"
"GSM972052","1"
"GSM972053","1"
"GSM972054","3"
"GSM972056","0"
"GSM972057","1"
"GSM972058","0"
"GSM972059","0"
"GSM972060","1"
"GSM972061","1"
"GSM972062","1"
"GSM972063","3"
"GSM972064","3"
"GSM972065","1"
"GSM972066","1"
"GSM972067","3"
"GSM972068","3"
"GSM972069","3"
"GSM972071","1"
"GSM972072","0"
"GSM972073","3"
"GSM972074","1"
"GSM972075","0"
"GSM972076","0"
"GSM972077","3"
"GSM972078","1"
"GSM972080","0"
"GSM972081","1"
"GSM972082","3"
"GSM972084","3"
"GSM972085","1"
"GSM972086","1"
"GSM972087","1"
"GSM972088","3"
"GSM972089","3"
"GSM972090","1"
"GSM972091","2"
"GSM972092","3"
"GSM972093","3"
"GSM972094","3"
"GSM972095","3"
"GSM972096","1"
"GSM972097","3"
"GSM972098","2"
"GSM972099","1"
"GSM972100","2"
"GSM972102","3"
"GSM972104","3"
"GSM972105","1"
"GSM972106","1"
"GSM972107","1"
"GSM972108","1"
"GSM972109","0"
"GSM972110","2"
"GSM972111","2"
"GSM972112","3"
"GSM972113","3"
"GSM972114","2"
"GSM972115","1"
"GSM972116","3"
"GSM972117","0"
"GSM972119","1"
"GSM972120","0"
"GSM972121","2"
"GSM972122","1"
"GSM972123","1"
"GSM972124","1"
"GSM972125","3"
"GSM972126","1"
"GSM972127","3"
"GSM972128","3"
"GSM972129","0"
"GSM972130","1"
"GSM972131","3"
"GSM972132","3"
"GSM972133","3"
"GSM972135","2"
"GSM972136","1"
"GSM972137","1"
"GSM972138","1"
"GSM972139","1"
"GSM972140","3"
"GSM972141","3"
"GSM972142","1"
"GSM972143","1"
"GSM972144","1"
"GSM972146","3"
"GSM972147","1"
"GSM972148","1"
"GSM972149","1"
"GSM972150","1"
"GSM972151","1"
"GSM972152","1"
"GSM972153","1"
"GSM972154","1"
"GSM972155","1"
"GSM972156","1"
"GSM972157","1"
"GSM972158","3"
"GSM972159","2"
"GSM972160","1"
"GSM972162","3"
"GSM972164","3"
"GSM972165","3"
"GSM972166","1"
"GSM972167","1"
"GSM972168","0"
"GSM972169","1"
"GSM972170","1"
"GSM972171","0"
"GSM972173","1"
"GSM972174","1"
"GSM972175","1"
"GSM972176","3"
"GSM972177","1"
"GSM972178","2"
"GSM972179","3"
"GSM972180","0"
"GSM972181","3"
"GSM972182","1"
"GSM972183","2"
"GSM972184","3"
"GSM972185","1"
"GSM972186","3"
"GSM972187","3"
"GSM972188","1"
"GSM972189","0"
"GSM972190","1"
"GSM972191","2"
"GSM972193","1"
"GSM972194","1"
"GSM972195","2"
"GSM972196","0"
"GSM972197","2"
"GSM972198","1"
"GSM972199","1"
"GSM972200","1"
"GSM972201","3"
"GSM972202","1"
"GSM972203","1"
"GSM972204","3"
"GSM972205","1"
"GSM972206","1"
"GSM972208","3"
"GSM972209","0"
"GSM972210","3"
"GSM972211","1"
"GSM972212","2"
"GSM972214","0"
"GSM972216","1"
"GSM972217","1"
"GSM972218","2"
"GSM972219","1"
"GSM972220","0"
"GSM972221","0"
"GSM972223","0"
"GSM972224","0"
"GSM972225","1"
"GSM972226","2"
"GSM972227","2"
"GSM972228","2"
"GSM972229","0"
"GSM972230","1"
"GSM972231","3"
"GSM972232","3"
"GSM972233","1"
"GSM972234","3"
"GSM972236","1"
"GSM972237","1"
"GSM972238","1"
"GSM972240","3"
"GSM972241","0"
"GSM972243","1"
"GSM972244","1"
"GSM972245","1"
"GSM972246","1"
"GSM972247","1"
"GSM972248","1"
"GSM972249","1"
"GSM972250","1"
"GSM972251","3"
"GSM972253","1"
"GSM972254","3"
"GSM972255","3"
"GSM972256","1"
"GSM972257","1"
"GSM972258","1"
"GSM972259","2"
"GSM972260","1"
"GSM972261","0"
"GSM972262","3"
"GSM972263","0"
"GSM972264","0"
"GSM972265","0"
"GSM972267","1"
"GSM972268","2"
"GSM972269","2"
"GSM972270","0"
"GSM972271","1"
"GSM972272","1"
"GSM972273","2"
"GSM972274","0"
"GSM972275","0"
"GSM972276","0"
"GSM972277","0"
"GSM972278","0"
"GSM972279","0"
"GSM972280","0"
"GSM972281","1"
"GSM972282","0"
"GSM972283","0"
"GSM972284","1"
"GSM972285","0"
"GSM972286","0"
"GSM972287","0"
"GSM972288","1"
"GSM972289","1"
"GSM972291","3"
"GSM972292","0"
"GSM972293","3"
"GSM972294","0"
"GSM972296","2"
"GSM972297","3"
"GSM972298","0"
"GSM972299","1"
"GSM972300","2"
"GSM972302","1"
"GSM972303","1"
"GSM972304","2"
"GSM972306","1"
"GSM972307","1"
"GSM972308","0"
"GSM972309","1"
"GSM972311","3"
"GSM972312","1"
"GSM972313","1"
"GSM972314","0"
"GSM972315","2"
"GSM972316","0"
"GSM972317","0"
"GSM972318","1"
"GSM972319","1"
"GSM972320","1"
"GSM972321","1"
"GSM972322","1"
"GSM972323","1"
"GSM972324","1"
"GSM972325","0"
"GSM972326","2"
"GSM972327","0"
"GSM972328","1"
"GSM972329","1"
"GSM972330","0"
"GSM972331","1"
"GSM972332","0"
"GSM972333","1"
"GSM972334","0"
"GSM972335","1"
"GSM972336","1"
"GSM972337","0"
"GSM972338","1"
"GSM972339","1"
"GSM972340","1"
"GSM972341","1"
"GSM972342","1"
"GSM972343","1"
"GSM972344","1"
"GSM972345","3"
"GSM972346","0"
"GSM972347","1"
"GSM972348","1"
"GSM972349","3"
"GSM972350","2"
"GSM972351","1"
"GSM972352","3"
"GSM972353","0"
"GSM972354","0"
"GSM972355","3"
"GSM972356","1"
"GSM972358","1"
"GSM972359","3"
"GSM972360","0"
"GSM972361","3"
"GSM972362","1"
"GSM972363","1"
"GSM972364","2"
"GSM972365","3"
"GSM972366","3"
"GSM972367","3"
"GSM972368","1"
"GSM972369","3"
"GSM972370","1"
"GSM972371","1"
"GSM972372","1"
"GSM972373","1"
"GSM972374","1"
"GSM972375","3"
"GSM972376","3"
"GSM972377","3"
"GSM972378","1"
"GSM972379","2"
"GSM972380","3"
"GSM972381","1"
"GSM972382","1"
"GSM972383","1"
"GSM972385","3"
"GSM972386","1"
"GSM972387","1"
"GSM972388","1"
"GSM972389","2"
"GSM972390","2"
"GSM972391","0"
"GSM972392","1"
"GSM972393","1"
"GSM972395","1"
"GSM972396","2"
"GSM972397","1"
"GSM972398","1"
"GSM972399","1"
"GSM972401","3"
"GSM972402","3"
"GSM972403","0"
"GSM972404","1"
"GSM972406","0"
"GSM972407","1"
"GSM972409","3"
"GSM972410","3"
"GSM972411","1"
"GSM972412","3"
"GSM972413","3"
"GSM972414","1"
"GSM972415","1"
"GSM972416","3"
"GSM972417","3"
"GSM972418","1"
"GSM972419","3"
"GSM972421","3"
"GSM972422","3"
"GSM972423","1"
"GSM972424","1"
"GSM972425","3"
"GSM972427","1"
"GSM972428","3"
"GSM972429","2"
"GSM972430","0"
"GSM972431","3"
"GSM972432","1"
"GSM972433","3"
"GSM972434","1"
"GSM972435","1"
"GSM972436","1"
"GSM972437","3"
"GSM972438","3"
"GSM972439","3"
"GSM972440","3"
"GSM972441","3"
"GSM972442","1"
"GSM972443","2"
"GSM972444","0"
"GSM972445","0"
"GSM972448","0"
"GSM972450","1"
"GSM972451","1"
"GSM972452","0"
"GSM972453","2"
"GSM972454","1"
"GSM972455","0"
"GSM972456","1"
"GSM972457","2"
"GSM972458","0"
"GSM972459","2"
"GSM972460","1"
"GSM972461","1"
"GSM972462","1"
"GSM972463","2"
"GSM972464","3"
"GSM972465","0"
"GSM972466","1"
"GSM972467","3"
"GSM972468","1"
"GSM972469","1"
"GSM972470","0"
"GSM972471","0"
"GSM972472","2"
"GSM972473","2"
"GSM972474","1"
"GSM972475","2"
"GSM972476","3"
"GSM972477","1"
"GSM972478","1"
"GSM972479","3"
"GSM972480","2"
"GSM972481","3"
"GSM972483","1"
"GSM972484","1"
"GSM972485","1"
"GSM972486","3"
"GSM972487","2"
"GSM972488","2"
"GSM972489","2"
"GSM972490","1"
"GSM972491","1"
"GSM972492","1"
"GSM972493","3"
"GSM972494","0"
"GSM972495","1"
"GSM972496","2"
"GSM972497","1"
"GSM972498","1"
"GSM972499","0"
"GSM972500","3"
"GSM972501","1"
"GSM972502","2"
"GSM972503","3"
"GSM972504","3"
"GSM972505","1"
"GSM972506","1"
"GSM972507","0"
"GSM972508","1"
"GSM972509","1"
